ID,Avaliacao,Comentario,DataPublicacao
1,5,"Impressionante, respondeu tudo com clareza.",2023-11-10
2,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-01-21
3,5,"Achei a resposta perfeita e esclarecedora.",2023-06-05
4,4,"Foi bem útil e quase perfeito.",2023-01-24
5,3,"A resposta foi clara, mas faltaram exemplos.",2023-01-10
6,2,"Esperava uma ajuda mais aprofundada.",2023-08-24
7,4,"Gostei, mas poderia ter mais informações.",2023-10-21
8,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-03-03
9,5,"A experiência foi excelente, muito prestativo!",2023-11-02
10,5,"Impressionante, respondeu tudo com clareza.",2023-08-18
11,3,"Satisfeito, mas poderia ser mais detalhado.",2023-12-27
12,5,"Muito satisfeito com o atendimento.",2023-07-23
13,3,"Ajudou no geral, mas não foi perfeito.",2023-08-02
14,5,"Resposta clara e completa, me ajudou muito.",2023-07-01
15,1,"Não resolveu meu problema.",2023-11-16
16,4,"O assistente é bom e prestativo.",2023-11-18
17,2,"Esperava uma ajuda mais aprofundada.",2023-01-11
18,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-09-11
19,1,"Não resolveu meu problema.",2023-04-10
20,1,"Não resolveu meu problema.",2023-02-06
21,5,"Impressionante, respondeu tudo com clareza.",2023-08-18
22,2,"Respondeu parcialmente, mas não o suficiente.",2023-05-19
23,5,"Impressionante, respondeu tudo com clareza.",2023-03-15
24,1,"Tive que repetir a pergunta várias vezes.",2023-04-04
25,5,"Muito satisfeito com o atendimento.",2023-04-02
26,5,"Impressionante, respondeu tudo com clareza.",2023-01-28
27,3,"Ajudou no geral, mas não foi perfeito.",2023-08-10
28,5,"Impressionante, respondeu tudo com clareza.",2023-08-17
29,2,"A resposta foi um pouco confusa.",2023-03-04
30,3,"Consegui entender, mas tive que pesquisar mais.",2023-12-31
31,4,"Foi bem útil e quase perfeito.",2023-07-12
32,4,"Gostei, mas poderia ter mais informações.",2023-04-22
33,2,"Respondeu parcialmente, mas não o suficiente.",2023-02-02
34,3,"Consegui entender, mas tive que pesquisar mais.",2023-05-14
35,5,"Achei a resposta perfeita e esclarecedora.",2023-06-06
36,1,"A resposta estava incompleta e não foi útil.",2023-09-27
37,1,"Tive que repetir a pergunta várias vezes.",2023-03-28
38,1,"Tive que repetir a pergunta várias vezes.",2023-09-17
39,3,"Ajudou no geral, mas não foi perfeito.",2023-07-29
40,1,"Não resolveu meu problema.",2023-10-02
41,1,"Não resolveu meu problema.",2023-05-12
42,1,"Não consegui encontrar o que precisava.",2023-02-10
43,4,"Foi bem útil e quase perfeito.",2023-08-31
44,1,"A resposta estava incompleta e não foi útil.",2023-05-28
45,1,"A resposta estava incompleta e não foi útil.",2023-08-23
46,5,"A experiência foi excelente, muito prestativo!",2023-09-09
47,1,"Não consegui encontrar o que precisava.",2023-09-25
48,2,"A resposta foi um pouco confusa.",2023-11-12
49,4,"A resposta foi bem explicada e direta.",2023-07-01
50,1,"Tive que repetir a pergunta várias vezes.",2023-09-09
51,2,"Foi útil em partes, mas faltou precisão.",2023-09-22
52,5,"Resposta clara e completa, me ajudou muito.",2023-07-19
53,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-07-16
54,4,"O assistente é bom e prestativo.",2023-03-23
55,3,"A resposta foi clara, mas faltaram exemplos.",2023-05-07
56,3,"Consegui entender, mas tive que pesquisar mais.",2023-04-11
57,1,"A resposta estava incompleta e não foi útil.",2023-10-24
58,1,"Não resolveu meu problema.",2023-09-15
59,5,"Impressionante, respondeu tudo com clareza.",2023-11-09
60,2,"Esperava uma ajuda mais aprofundada.",2023-10-22
61,1,"Não consegui encontrar o que precisava.",2023-11-12
62,5,"Muito satisfeito com o atendimento.",2023-08-07
63,3,"Satisfeito, mas poderia ser mais detalhado.",2023-01-25
64,2,"Foi útil em partes, mas faltou precisão.",2023-06-01
65,5,"Resposta clara e completa, me ajudou muito.",2023-03-02
66,3,"A resposta foi clara, mas faltaram exemplos.",2023-04-02
67,1,"Não resolveu meu problema.",2023-06-05
68,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-03-19
69,3,"A resposta foi clara, mas faltaram exemplos.",2023-02-16
70,3,"Satisfeito, mas poderia ser mais detalhado.",2023-03-06
71,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-02-06
72,4,"Foi bem útil e quase perfeito.",2023-01-06
73,1,"A resposta estava incompleta e não foi útil.",2023-07-21
74,1,"Não consegui encontrar o que precisava.",2023-06-21
75,5,"Muito satisfeito com o atendimento.",2023-10-31
76,1,"Não resolveu meu problema.",2023-12-05
77,2,"Foi útil em partes, mas faltou precisão.",2023-12-03
78,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-02-25
79,2,"A resposta foi um pouco confusa.",2023-12-26
80,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-05-13
81,1,"Tive que repetir a pergunta várias vezes.",2023-08-10
82,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-09-08
83,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-05-30
84,5,"Achei a resposta perfeita e esclarecedora.",2023-08-20
85,2,"Foi útil em partes, mas faltou precisão.",2023-07-05
86,2,"Esperava uma ajuda mais aprofundada.",2023-02-11
87,4,"O assistente é bom e prestativo.",2023-10-18
88,1,"Não consegui encontrar o que precisava.",2023-09-08
89,4,"A resposta foi bem explicada e direta.",2023-02-03
90,2,"Foi útil em partes, mas faltou precisão.",2023-05-26
91,1,"A resposta estava incompleta e não foi útil.",2023-10-05
92,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-05-31
93,2,"Esperava uma ajuda mais aprofundada.",2023-11-25
94,5,"Muito satisfeito com o atendimento.",2023-08-12
95,5,"Resposta clara e completa, me ajudou muito.",2023-08-25
96,4,"A resposta foi bem explicada e direta.",2023-10-04
97,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-03-01
98,4,"O assistente é bom e prestativo.",2023-12-17
99,2,"Foi útil em partes, mas faltou precisão.",2023-06-04
100,3,"A resposta foi clara, mas faltaram exemplos.",2023-07-24
101,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-10-22
102,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-07-05
103,4,"Gostei, mas poderia ter mais informações.",2023-04-28
104,2,"A resposta foi um pouco confusa.",2023-03-30
105,4,"A resposta foi bem explicada e direta.",2023-11-11
106,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-02-04
107,5,"Impressionante, respondeu tudo com clareza.",2023-02-26
108,2,"Respondeu parcialmente, mas não o suficiente.",2023-06-16
109,5,"Muito satisfeito com o atendimento.",2023-02-13
110,4,"A resposta foi bem explicada e direta.",2023-07-17
111,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-06-26
112,4,"O assistente é bom e prestativo.",2023-12-27
113,2,"Foi útil em partes, mas faltou precisão.",2023-06-14
114,2,"A resposta foi um pouco confusa.",2023-11-24
115,3,"Ajudou no geral, mas não foi perfeito.",2023-03-03
116,2,"Respondeu parcialmente, mas não o suficiente.",2023-09-06
117,4,"Consegui o que precisava sem dificuldades.",2023-12-04
118,3,"Consegui entender, mas tive que pesquisar mais.",2023-06-12
119,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-09-24
120,3,"Satisfeito, mas poderia ser mais detalhado.",2023-05-12
121,4,"A resposta foi bem explicada e direta.",2023-02-17
122,5,"Muito satisfeito com o atendimento.",2023-02-03
123,5,"A experiência foi excelente, muito prestativo!",2023-06-01
124,3,"Ajudou no geral, mas não foi perfeito.",2023-10-02
125,1,"Não resolveu meu problema.",2023-11-03
126,2,"Esperava uma ajuda mais aprofundada.",2023-10-24
127,5,"A experiência foi excelente, muito prestativo!",2023-12-24
128,2,"Foi útil em partes, mas faltou precisão.",2023-04-20
129,5,"A experiência foi excelente, muito prestativo!",2023-04-23
130,5,"A experiência foi excelente, muito prestativo!",2023-04-06
131,1,"Não resolveu meu problema.",2023-12-02
132,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-10
133,1,"Não resolveu meu problema.",2023-02-01
134,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-06-21
135,1,"Não resolveu meu problema.",2023-11-04
136,1,"Tive que repetir a pergunta várias vezes.",2023-12-08
137,2,"Esperava uma ajuda mais aprofundada.",2023-09-03
138,3,"Ajudou no geral, mas não foi perfeito.",2023-07-20
139,1,"A resposta estava incompleta e não foi útil.",2023-02-04
140,5,"Muito satisfeito com o atendimento.",2023-12-16
141,2,"Respondeu parcialmente, mas não o suficiente.",2023-03-12
142,1,"Tive que repetir a pergunta várias vezes.",2023-11-04
143,1,"Não resolveu meu problema.",2023-07-02
144,2,"Respondeu parcialmente, mas não o suficiente.",2023-01-23
145,4,"Gostei, mas poderia ter mais informações.",2023-07-20
146,3,"Consegui entender, mas tive que pesquisar mais.",2023-04-25
147,3,"Satisfeito, mas poderia ser mais detalhado.",2023-06-21
148,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-01-04
149,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-25
150,3,"Ajudou no geral, mas não foi perfeito.",2023-06-19
151,5,"Achei a resposta perfeita e esclarecedora.",2023-08-28
152,5,"Resposta clara e completa, me ajudou muito.",2023-09-29
153,3,"Ajudou no geral, mas não foi perfeito.",2023-03-22
154,1,"Não consegui encontrar o que precisava.",2023-11-05
155,1,"Não resolveu meu problema.",2023-11-13
156,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-01-24
157,5,"Resposta clara e completa, me ajudou muito.",2023-09-12
158,4,"Foi bem útil e quase perfeito.",2023-05-11
159,1,"Não consegui encontrar o que precisava.",2023-12-19
